setting,model.trt,root.trt,overlap.trt,model.rsp,alignment,te.hetero
1,linear,0.35,one-term,linear,0.75,high
2,polynomial,0.35,one-term,exponential,0.75,none
3,linear,0.35,one-term,linear,0.75,none
4,polynomial,0.35,full,exponential,0.75,high
5,linear,0.35,one-term,exponential,0.75,high
6,polynomial,0.35,one-term,linear,0.75,high
7,polynomial,0.35,one-term,exponential,0.75,high
8,polynomial,0.35,one-term,exponential,0,high
9,step,0.35,one-term,step,0.75,high
10,linear,0.35,one-term,exponential,0.25,high
11,polynomial,0.35,one-term,linear,0.25,high
12,polynomial,0.35,one-term,exponential,0.25,high
13,linear,0.65,one-term,exponential,0.75,high
14,polynomial,0.65,one-term,linear,0.75,high
15,polynomial,0.65,one-term,exponential,0.75,high
16,polynomial,0.65,one-term,exponential,0,high
17,step,0.65,one-term,step,0.75,high
18,linear,0.65,one-term,exponential,0.25,high
19,polynomial,0.65,one-term,linear,0.25,high
20,polynomial,0.65,one-term,exponential,0.25,high
21,polynomial,0.35,one-term,step,0.25,med
22,polynomial,0.35,one-term,step,0.25,high
23,polynomial,0.35,one-term,step,0.75,med
24,polynomial,0.35,one-term,step,0.75,high
25,polynomial,0.35,one-term,exponential,0.25,med
26,polynomial,0.35,one-term,exponential,0.75,med
27,polynomial,0.35,full,step,0.25,med
28,polynomial,0.35,full,step,0.25,high
29,polynomial,0.35,full,step,0.75,med
30,polynomial,0.35,full,step,0.75,high
31,polynomial,0.35,full,exponential,0.25,med
32,polynomial,0.35,full,exponential,0.25,high
33,polynomial,0.35,full,exponential,0.75,med
34,polynomial,0.65,one-term,step,0.25,med
35,polynomial,0.65,one-term,step,0.25,high
36,polynomial,0.65,one-term,step,0.75,med
37,polynomial,0.65,one-term,step,0.75,high
38,polynomial,0.65,one-term,exponential,0.25,med
39,polynomial,0.65,one-term,exponential,0.75,med
40,polynomial,0.65,full,step,0.25,med
41,polynomial,0.65,full,step,0.25,high
42,polynomial,0.65,full,step,0.75,med
43,polynomial,0.65,full,step,0.75,high
44,polynomial,0.65,full,exponential,0.25,med
45,polynomial,0.65,full,exponential,0.25,high
46,polynomial,0.65,full,exponential,0.75,med
47,polynomial,0.65,full,exponential,0.75,high
48,step,0.35,one-term,step,0.25,med
49,step,0.35,one-term,step,0.25,high
50,step,0.35,one-term,step,0.75,med
51,step,0.35,one-term,exponential,0.25,med
52,step,0.35,one-term,exponential,0.25,high
53,step,0.35,one-term,exponential,0.75,med
54,step,0.35,one-term,exponential,0.75,high
55,step,0.35,full,step,0.25,med
56,step,0.35,full,step,0.25,high
57,step,0.35,full,step,0.75,med
58,step,0.35,full,step,0.75,high
59,step,0.35,full,exponential,0.25,med
60,step,0.35,full,exponential,0.25,high
61,step,0.35,full,exponential,0.75,med
62,step,0.35,full,exponential,0.75,high
63,step,0.65,one-term,step,0.25,med
64,step,0.65,one-term,step,0.25,high
65,step,0.65,one-term,step,0.75,med
66,step,0.65,one-term,exponential,0.25,med
67,step,0.65,one-term,exponential,0.25,high
68,step,0.65,one-term,exponential,0.75,med
69,step,0.65,one-term,exponential,0.75,high
70,step,0.65,full,step,0.25,med
71,step,0.65,full,step,0.25,high
72,step,0.65,full,step,0.75,med
73,step,0.65,full,step,0.75,high
74,step,0.65,full,exponential,0.25,med
75,step,0.65,full,exponential,0.25,high
76,step,0.65,full,exponential,0.75,med
77,step,0.65,full,exponential,0.75,high
